City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
788,Mamou,GN,75.15,light rain,10.5,-12.0,
795,Kihei,US,82.42,few clouds,20.785,-156.4656,Maui Sunset
797,Saint-Leu,RE,77.86,broken clouds,-21.15,55.2833,La Caz Oceane
798,Kimbe,PG,84.27,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
799,Luanda,AO,80.6,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
803,Lazaro Cardenas,MX,82.98,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
805,Axim,GH,80.47,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
807,Juba,SS,77.54,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
808,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
815,Sikasso,ML,90.0,broken clouds,10.9167,-7.0,
821,Meulaboh,ID,76.62,overcast clouds,4.1363,96.1285,Kost Pria
823,Kloulklubed,PW,82.96,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
825,Calintaan,PH,80.74,broken clouds,12.5667,120.9333,Jackson Hotel and Restaurant
829,Srandakan,ID,76.26,broken clouds,-7.9386,110.2506,Puri Brata
831,Sabang,ID,82.65,clear sky,5.8933,95.3214,Hotel Citra
832,Quatre Cocos,MU,77.11,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
836,Barra Patuca,HN,77.56,overcast clouds,15.8,-84.2833,
853,Coro,VE,79.34,overcast clouds,11.4045,-69.6734,Federal
855,Coalinga,US,80.85,broken clouds,36.1397,-120.3602,Royal Lodge Motel
859,Toamasina,MG,75.2,scattered clouds,-18.1667,49.3833,Hotel H1
868,Santa Marta,CO,86.05,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
869,Xuddur,SO,76.96,scattered clouds,4.1213,43.8894,Banjanay Hotel
872,Maria Aurora,PH,76.23,broken clouds,15.7967,121.4737,Attic Travellers Inn
878,Harlingen,US,80.69,scattered clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
882,Takoradi,GH,80.96,broken clouds,4.8845,-1.7554,Raybow International Hotel
886,Noumea,NC,84.18,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
888,Lampa,CL,77.83,broken clouds,-33.2833,-70.9,El sueño de Lampa I y II
890,Qui Nhon,VN,76.35,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
893,Waingapu,ID,79.0,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
894,Pemangkat,ID,75.72,broken clouds,1.1667,108.9667,Ramah Kost KITA
895,Humberto De Campos,BR,76.03,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
897,Alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
899,Arue,PF,83.08,scattered clouds,-17.5167,-149.5,Relais de la Maroto
901,Dwarka,IN,78.64,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
906,Miraflores,MX,76.03,few clouds,19.2167,-98.8083,Hotel Mansión
915,Kibala,TD,84.15,clear sky,9.1104,18.3463,hotel safari
918,Bourail,NC,80.82,scattered clouds,-21.5667,165.4833,Motel Allamanda
919,Kapoeta,SS,81.77,broken clouds,4.7717,33.5903,Eastgate Hotel
920,Katubao,PH,80.38,broken clouds,5.8892,124.8294,IML Ecopark
937,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
942,Mackay,AU,81.68,clear sky,-21.15,149.2,International Lodge Motel
946,Sur,OM,79.59,clear sky,22.5667,59.5289,Sur Plaza Hotel
954,Rajgarh,IN,79.45,clear sky,28.6333,75.3833,Nand Plaza Hotel Bar & Restaurant - Best Hotel | Bar | Top Restaurant in Sadulpur
960,San Juan,AR,78.51,scattered clouds,-31.5375,-68.5364,Hotel Provincial
962,Denpasar,ID,76.71,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
966,San Martin,AR,82.94,scattered clouds,-33.081,-68.4681,Finca Vivencias
968,Sao Raimundo Das Mangabeiras,BR,77.27,moderate rain,-7.0219,-45.4811,Hotel Tropical
971,Dzilam Gonzalez,MX,80.08,clear sky,21.2833,-88.9333,posadas
972,Makokou,GA,75.6,broken clouds,0.5738,12.8642,Hôtel
974,Bima,ID,77.14,overcast clouds,-8.4667,118.7167,Lambitu Hotel
980,Buchanan,LR,79.79,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
981,Mayor Pablo Lagerenza,PY,81.0,broken clouds,-19.9309,-60.7718,
992,Soyo,AO,80.76,overcast clouds,-6.1349,12.3689,Hotel Mpampa
993,Lagos,NG,84.52,few clouds,6.5833,3.75,
1000,Henderson,US,89.94,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
1004,La Palma,US,77.86,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
1008,Vihari,PK,77.45,clear sky,30.0333,72.35,Al Shafi
1023,Puerto Cabezas,NI,84.16,scattered clouds,14.0351,-83.3888,Cabaña Caribe
1027,Alyangula,AU,78.67,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
1031,Gizo,SB,82.85,light rain,-8.103,156.8419,Imagination Island
1032,Fort Wellington,GY,77.02,overcast clouds,6.4,-57.6,TE'AMO Entertainment Park
1033,Balsas,BR,76.01,moderate rain,-7.5325,-46.0356,Novo Hotel
1037,Pouebo,NC,81.34,scattered clouds,-20.4,164.5667,RIVÂT LODGE
1039,Liuli,TZ,75.92,light rain,-11.0833,34.6333,"Puulu Beach,Puulu Village"
1042,Nabire,ID,76.08,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
1043,Moindou,NC,80.55,scattered clouds,-21.6924,165.677,Equi-lodge de Moindou
1045,Kunya,NG,77.16,haze,12.2233,8.5325,
1047,Balabac,PH,79.03,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
1052,Qandala,SO,77.16,clear sky,11.472,49.8728,
1058,Cartagena,CO,83.82,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
1059,Barra Do Bugres,BR,76.82,broken clouds,-15.0725,-57.1811,Hotel 4AM Petrofurt
1063,Mangrol,IN,77.54,clear sky,21.1167,70.1167,Hotel The Royal Honours
1067,Maues,BR,76.55,overcast clouds,-3.3836,-57.7186,Hotel Miramar
1068,Mitsamiouli,KM,82.13,overcast clouds,-11.3847,43.2844,Foyer ADM
1075,Tallahassee,US,77.2,clear sky,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
1079,Tibiri,NE,75.33,few clouds,13.5627,7.0485,FADA GAO FA TIBIRI
1081,Port Keats,AU,81.99,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
1087,Mahibadhoo,MV,81.77,overcast clouds,3.7833,72.9667,Omadhoo Inn
1088,Alugan,PH,80.17,overcast clouds,12.2188,125.4808,JM Lodge
1089,San Joaquin,US,77.34,overcast clouds,37.9333,-121.3011,University Plaza Waterfront Hotel
1093,Charters Towers,AU,77.88,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
1095,Sapa,PH,80.22,broken clouds,5.1544,120.3241,
1099,Luwuk,ID,79.18,moderate rain,-0.9516,122.7875,Hotel Santika Luwuk
1102,Kalianget,ID,78.71,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
1108,Kieta,PG,83.55,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
1113,Ferkessedougou,CI,87.01,light rain,9.6,-5.2,Hotel Chateau
1121,Matiguas,NI,87.73,overcast clouds,12.8373,-85.4622,Hotel Bethel
1124,Puerto Colombia,CO,86.09,few clouds,10.9878,-74.9547,Hotel El Emigrante
1125,Dhadar,IN,78.37,clear sky,28.3305,75.0632,ढाढर
1126,Lamar,US,82.31,clear sky,33.6668,-95.5836,Kings Inn Paris TX
